No.,Date,ID,Name,Switch,Brightness(%),Power Rate(%),Power Sum(W),Power AC(W),Power DC(W),Power Limit Hard(W),Power Limit Soft(W),Current Sum(A),Current Limit(A),DR(%),Led Count,Energy (kWh)
10534,12/28/21 12:00:50 AM,1_51,配电箱总功�,1,50,100,334,334,0,30000,8800,2,0,0,7,109.935
9013,12/28/21 12:00:51 AM,1_61,A相电流上限,1,100,100,98,98,0,10000,0,0,0,0,1,7.527
5981,12/28/21 12:00:51 AM,1_63,C相电流上限,1,100,100,159,159,0,10000,0,1,0,0,1,12.143
7511,12/28/21 12:00:51 AM,1_62,B相电流上限,1,50,100,77,77,0,10000,0,0,0,0,5,90.248
2973,12/28/21 12:00:51 AM,1_71,A相充电桩电,1,40,100,98,98,0,8800,0,0,0,0,1,7.531
1531,12/28/21 12:00:51 AM,1_72,B相充电桩电,1,25,100,18,18,0,8800,0,0,0,0,4,84.132
1,12/28/21 12:00:51 AM,1_73,C相充电桩电,1,40,100,159,159,0,0,0,1,0,0,1,12.136
4492,12/28/21 12:00:51 AM,1_65,四个充电桩�,1,25,100,18,18,0,10000,0,0,35,0,4,84.217
13975,12/28/21 12:00:52 AM,1_11,充电桩上电,1,25,100,18,18,0,0,0,0,0,0,4,83.998
9014,12/28/21 12:00:54 AM,1_61,A相电流上限,1,100,100,98,98,0,10000,0,0,0,0,1,7.527
5982,12/28/21 12:00:54 AM,1_63,C相电流上限,1,100,100,159,159,0,10000,0,1,0,0,1,12.143
1532,12/28/21 12:00:54 AM,1_72,B相充电桩电,1,25,100,18,18,0,8800,0,0,0,0,4,84.132
2974,12/28/21 12:00:54 AM,1_71,A相充电桩电,1,40,100,98,98,0,8800,0,0,0,0,1,7.531
12075,12/28/21 12:00:54 AM,1_4,4号充电桩,0,0,100,0,0,0,0,0,0,0,0,1,26.277
13336,12/28/21 12:00:54 AM,1_2,2号充电桩,0,0,100,0,0,0,0,0,0,0,0,1,23.519
15406,12/28/21 12:00:54 AM,1_1,1号充电桩,0,0,100,0,0,0,0,0,0,0,0,1,17.341
2,12/28/21 12:00:54 AM,1_73,C相充电桩电,1,40,100,159,159,0,0,0,1,0,0,1,12.137
10535,12/28/21 12:00:55 AM,1_51,配电箱总功�,1,50,100,334,334,0,30000,8800,2,0,0,7,109.935
4493,12/28/21 12:01:27 AM,1_65,四个充电桩�,1,25,100,18,18,0,10000,0,0,35,0,4,84.217
3,12/28/21 12:01:54 AM,1_73,C相充电桩电,1,40,100,160,160,0,0,0,1,0,0,1,12.139
9015,12/28/21 12:01:54 AM,1_61,A相电流上限,1,100,100,98,98,0,10000,0,0,0,0,1,7.528
5983,12/28/21 12:01:54 AM,1_63,C相电流上限,1,100,100,160,160,0,10000,0,1,0,0,1,12.146
7512,12/28/21 12:01:54 AM,1_62,B相电流上限,1,50,100,77,77,0,10000,0,0,0,0,5,90.249
2975,12/28/21 12:01:54 AM,1_71,A相充电桩电,1,40,100,98,98,0,8800,0,0,0,0,1,7.533
13976,12/28/21 12:01:54 AM,1_11,充电桩上电,1,25,100,18,18,0,0,0,0,0,0,4,83.998
10536,12/28/21 12:01:55 AM,1_51,配电箱总功�,1,50,100,335,335,0,30000,8800,2,0,0,7,109.941
4494,12/28/21 12:02:27 AM,1_65,四个充电桩�,1,25,100,17,17,0,10000,0,0,35,0,4,84.217
5984,12/28/21 12:02:54 AM,1_63,C相电流上限,1,100,100,160,160,0,10000,0,1,0,0,1,12.149
7513,12/28/21 12:02:54 AM,1_62,B相电流上限,1,50,100,77,77,0,10000,0,0,0,0,5,90.251
9016,12/28/21 12:02:54 AM,1_61,A相电流上限,1,100,100,97,97,0,10000,0,0,0,0,1,7.53
2976,12/28/21 12:02:54 AM,1_71,A相充电桩电,1,40,100,97,97,0,8800,0,0,0,0,1,7.535
4,12/28/21 12:02:54 AM,1_73,C相充电桩电,1,40,100,160,160,0,0,0,1,0,0,1,12.142
10537,12/28/21 12:02:55 AM,1_51,配电箱总功�,1,50,100,334,334,0,30000,8800,2,0,0,7,109.946
4495,12/28/21 12:03:27 AM,1_65,四个充电桩�,1,25,100,18,18,0,10000,0,0,35,0,4,84.217
5985,12/28/21 12:03:54 AM,1_63,C相电流上限,1,100,100,159,159,0,10000,0,1,0,0,1,12.151
7514,12/28/21 12:03:54 AM,1_62,B相电流上限,1,50,100,77,77,0,10000,0,0,0,0,5,90.252
1533,12/28/21 12:03:54 AM,1_72,B相充电桩电,1,25,100,17,17,0,8800,0,0,0,0,4,84.133
13977,12/28/21 12:03:54 AM,1_11,充电桩上电,1,25,100,17,17,0,0,0,0,0,0,4,83.999
5,12/28/21 12:03:54 AM,1_73,C相充电桩电,1,40,100,159,159,0,0,0,1,0,0,1,12.144
10538,12/28/21 12:03:56 AM,1_51,配电箱总功�,1,50,100,335,335,0,30000,8800,2,0,0,7,109.952
4496,12/28/21 12:04:27 AM,1_65,四个充电桩�,1,25,100,17,17,0,10000,0,0,35,0,4,84.218
9017,12/28/21 12:04:55 AM,1_61,A相电流上限,1,100,100,97,97,0,10000,0,0,0,0,1,7.533
5986,12/28/21 12:04:55 AM,1_63,C相电流上限,1,100,100,159,159,0,10000,0,1,0,0,1,12.154
7515,12/28/21 12:04:55 AM,1_62,B相电流上限,1,50,100,77,77,0,10000,0,0,0,0,5,90.253
6,12/28/21 12:04:55 AM,1_73,C相充电桩电,1,40,100,159,159,0,0,0,1,0,0,1,12.147
2977,12/28/21 12:04:55 AM,1_71,A相充电桩电,1,40,100,97,97,0,8800,0,0,0,0,1,7.538
13978,12/28/21 12:04:55 AM,1_11,充电桩上电,1,25,100,18,18,0,0,0,0,0,0,4,83.999
1534,12/28/21 12:04:55 AM,1_72,B相充电桩电,1,25,100,18,18,0,8800,0,0,0,0,4,84.133
10539,12/28/21 12:04:55 AM,1_51,配电箱总功�,1,50,100,333,333,0,30000,8800,2,0,0,7,109.957
4497,12/28/21 12:05:27 AM,1_65,四个充电桩�,1,25,100,18,18,0,10000,0,0,35,0,4,84.218
9018,12/28/21 12:05:54 AM,1_61,A相电流上限,1,100,100,98,98,0,10000,0,0,0,0,1,7.535
5987,12/28/21 12:05:54 AM,1_63,C相电流上限,1,100,100,171,171,0,10000,0,1,0,0,1,12.157
7516,12/28/21 12:05:54 AM,1_62,B相电流上限,1,50,100,77,77,0,10000,0,0,0,0,5,90.255
7,12/28/21 12:05:54 AM,1_73,C相充电桩电,1,40,100,171,171,0,0,0,1,0,0,1,12.15
2978,12/28/21 12:05:54 AM,1_71,A相充电桩电,1,40,100,98,98,0,8800,0,0,0,0,1,7.539
10540,12/28/21 12:05:58 AM,1_51,配电箱总功�,1,50,100,346,346,0,30000,8800,2,0,0,7,109.963
8,12/28/21 12:06:55 AM,1_73,C相充电桩电,1,40,100,171,171,0,0,0,1,0,0,1,12.153
9019,12/28/21 12:06:55 AM,1_61,A相电流上限,1,100,100,97,97,0,10000,0,0,0,0,1,7.536
5988,12/28/21 12:06:55 AM,1_63,C相电流上限,1,100,100,171,171,0,10000,0,1,0,0,1,12.159
7517,12/28/21 12:06:55 AM,1_62,B相电流上限,1,50,100,77,77,0,10000,0,0,0,0,5,90.256
2979,12/28/21 12:06:55 AM,1_71,A相充电桩电,1,40,100,97,97,0,8800,0,0,0,0,1,7.541
9020,12/28/21 12:07:54 AM,1_61,A相电流上限,1,100,100,109,109,0,10000,0,0,0,0,1,7.538
5989,12/28/21 12:07:54 AM,1_63,C相电流上限,1,100,100,171,171,0,10000,0,1,0,0,1,12.162
9,12/28/21 12:07:54 AM,1_73,C相充电桩电,1,40,100,171,171,0,0,0,1,0,0,1,12.156
1535,12/28/21 12:07:54 AM,1_72,B相充电桩电,1,25,100,18,18,0,8800,0,0,0,0,4,84.134
2980,12/28/21 12:07:54 AM,1_71,A相充电桩电,1,40,100,109,109,0,8800,0,0,0,0,1,7.543
13979,12/28/21 12:07:54 AM,1_11,充电桩上电,1,25,100,18,18,0,0,0,0,0,0,4,84
10541,12/28/21 12:07:55 AM,1_51,配电箱总功�,1,50,100,345,345,0,30000,8800,2,0,0,7,109.974
4498,12/28/21 12:08:27 AM,1_65,四个充电桩�,1,25,100,17,17,0,10000,0,0,35,0,4,84.219
5990,12/28/21 12:08:55 AM,1_63,C相电流上限,1,100,100,159,159,0,10000,0,1,0,0,1,12.165
9021,12/28/21 12:08:55 AM,1_61,A相电流上限,1,100,100,98,98,0,10000,0,0,0,0,1,7.54
7518,12/28/21 12:08:55 AM,1_62,B相电流上限,1,50,100,77,77,0,10000,0,0,0,0,5,90.258
10,12/28/21 12:08:55 AM,1_73,C相充电桩电,1,40,100,159,159,0,0,0,1,0,0,1,12.158
2981,12/28/21 12:08:55 AM,1_71,A相充电桩电,1,40,100,98,98,0,8800,0,0,0,0,1,7.544
13980,12/28/21 12:08:55 AM,1_11,充电桩上电,1,25,100,18,18,0,0,0,0,0,0,4,84
1536,12/28/21 12:08:55 AM,1_72,B相充电桩电,1,25,100,18,18,0,8800,0,0,0,0,4,84.134
